,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
c,0.21419347248867154,1.0162445357094794,0.05145227487148567,-1.8154843752389382,2.117402968483916,59.69731102993242,1.0489143283627813
f_rotated___0,-0.47116161355451003,0.5374350331258505,0.027403363504406662,-1.7948224797274863,0.4866802051533161,132.87987960839556,1.018452775637999
f_rotated___1,0.18713576733624407,0.7696899545754474,0.054838140296493074,-1.4093771663395611,1.6560033510256635,2.569241470146456,1.3694964247579262
f_rotated___2,-0.6406272638148238,0.826757056657947,0.05755934658562304,-2.1336324542703604,1.0591143256536413,3.689095220671693,1.260406580227982
f_rotated___3,-0.36383739340606136,0.7562695496303813,0.043846041144208925,-1.6864898100017995,1.4092328564976282,21.026865837590496,1.097444400178026
f_rotated___4,0.20556817048065085,0.7141329180761558,0.04375608827028861,-1.5074985669500325,1.4721302767567157,12.833205170815399,1.1074641562346565
f_rotated___5,-0.091320320699854,0.6414021082579111,0.035699205032835,-1.5688816863129607,1.282774981726425,158.07236676624004,1.0118920317664735
f_rotated___6,-0.8406493539987979,0.992321023366071,0.07885785116657344,-2.2316125051724387,1.183135538385028,4.024476671771943,1.263999126085568
f_rotated___7,-0.03585710464475529,0.7252481465690769,0.0387838474336132,-1.6041547222092118,1.427632657938459,210.69941494071261,0.9995018492943862
f_rotated___8,0.8513642559619434,1.2626000918158464,0.10885418795090625,-1.6612986760335111,2.709654626531014,1.4031497775591424,1.993885648964028
f_rotated___9,0.6079207977430299,0.8504109800129085,0.05045245351921894,-1.1109727820482438,2.265939276674225,7.6215541665229285,1.1316319763321616
f_rotated___10,0.4720609670976429,0.7550934624159824,0.04831871406139216,-1.1796110189845763,1.8890495355389594,5.946026747692777,1.1576949486907708
f_rotated___11,-0.06238914122396354,0.7017003958228724,0.03036928592179678,-1.5027730048846661,1.2686432267296948,15.81004565897132,1.072024056606052
f_rotated___12,0.993836153262598,1.1613958419821895,0.0946335244018681,-1.4095000614365596,2.9934916198470534,1.537397697386446,1.8027331627159606
f_rotated___13,0.6205553085763638,0.9435648582695725,0.06838103209073061,-1.3372196925603035,2.3277638514833328,2.4898066337132527,1.3863238410177436
f_rotated___14,-0.28975014877662,0.8800636620126205,0.05174906770050245,-1.7761621012964333,1.6251986864726964,31.988519573043046,1.0547143095214748
f_rotated___15,0.28416096880676284,0.8129748059009896,0.03623207212673624,-1.230088189899649,2.114419375332554,387.92895612046294,1.001481547913798
f_rotated___16,0.33304945138562564,0.8917408885148027,0.05779482238503,-1.5445725165514888,2.1107052658714163,3.1513308635946498,1.2767499402938522
f_rotated___17,0.10708625789190342,0.8758962523427611,0.04615150288630327,-1.3777536896555396,1.9590744394417152,113.81991858261576,1.0027010467815043
f_rotated___18,0.18695748139211277,0.8617067646440375,0.04565368062322943,-1.527261843431248,1.8279240734226636,45.13904243309136,1.0486002267450891
f_rotated___19,-0.27780208275137047,0.8553035635821102,0.03960658839536291,-1.796940156986017,1.4423247225658584,327.8939874916112,1.0056291287514847
f_rotated___20,-0.07705269883669844,1.0117345140378653,0.06606245621258193,-2.1049171977495615,1.9217247862461249,36.63867324760773,1.0619388440322794
f_rotated___21,-0.47700819874270645,0.8509893110864541,0.04348236254238702,-1.971083688045247,1.320585289908605,136.15391624916515,1.0081152201797898
f_rotated___22,-0.08923313058725235,0.9204475268278026,0.04686222421242357,-1.8221317369975862,1.852424683538008,23.56365181825509,1.065412396022578
f_rotated___23,-0.17524640247152978,0.7722258331349006,0.029896173107998397,-1.5892577484079464,1.5083464949837904,559.0624188221636,1.0084040589344032
f_rotated___24,-0.5736680148004575,0.9879829744740928,0.061056602057356676,-2.1790194543834627,1.5344001279409576,38.95353300695214,1.0403183010027754
